instituciones,titulos,autores,contribuidores,resumenes,grados,años
Universidad Nacional de San Antonio Abad del Cusco,"Eficacia de la aplicación de barniz fluorado Duraphat vs. flúor protec tor Vivadent sobre la remineralización de mancha blanca por caries en dientes permanentes de escolares de 12 años de la Institución Educativa Ciencias, Cusco-2011","Ttimpo Bautista, Yaneth Nieves","Vera Ferchau, Helga","El presente trabajo intitulado eficacia de la aplicación del barniz fluorado Duraphat vs. Flúor protector Vivadent sobre la remineralización de mancha blanca por caries en dientes permanentes de escolares de 12 años en la Institución Educativa Ciencias, Cusco-2011, se realizó para evaluar y comparar la eficacia de la aplicación terapéutica del barniz fluorado duraphat 5% y flúor protector 0.1% para la remineralización de mancha blanca al mes de su aplicación a través del incremento de la resistencia del esmalte, empleándose para ello la técnica colorimétrica de Grimep. El objetivo de este estudio fue comparar clínicamente la eficacia de la remineralización de mancha blanca cuya finalidad fue encontrar el tratamiento preventivo más eficaz en el tratamiento de las manchas blancas. Además de encontrar la técnica más económica y de fácil aplicación. Para el presente trabajo de investigación se seleccionó 60 niños de 12 años, de los cuales se dividieron en dos grupos iguales, los que contaban con piezas dentarias permanentes jóvenes anterosuperiores que presentaban diagnóstico clínico de lesión de mancha blanca en cara vestibular, producida por caries dental. Se halló que para la terapia con barniz fluorado Duraphat se obtuvo un 80% en el incremento de la remineralización y para el Flúor Protector un 86.3% , no encontrándose diferencias significativas en dichos resultados. Donde se concluyó que ambos barnices son igual de eficaces en la remineralización de mancha banca por caries.",Cirujano dentista,2011
Universidad Nacional de San Antonio Abad del Cusco,"Evaluación del uso de dexametasona en la profilaxis de dolor náuseas y vómitos postoperatorios en pacientes sometidos a apendicectomía y colecistectomía laparoscópica en el servicio de Cirugia "" A"" del hospital Regional del Cusco","Suni Cconcha, Vianney","Del Castillo Yáñez, Tatiana","Las náuseas, vómitos y el dolor postoperatorio son eventos temidos por los pacientes sometidos a cirugía con anestesia general, por lo que el objetivo del presente trabajo, fue determinar si la Dexametasona influye en la disminución de dichos eventos. Se realizó en 100 pacientes sometidos a apendicectomía y colecistectomía laparoscópica del servicio de Cirugía ""A"" del Hospital Regional del Cusca, divididos en dos grupos (con y sin tratamiento profiláctico) por cirugía. Al primer grupo, se le administró 8mg. de Dexametasona, 15 a 30 minutos antes de la cirugía, luego se registraron las náuseas, vómitos y el dolor fue evaluado con la Escala Visual Análoga, en las primeras 24 horas del postoperatorio. En la Apendicectomía laparoscópica, no se registró náuseas (76%) y vómitos (100%) en el grupo con fármaco, a diferencia de solo el 28% sin náuseas y el 72% sin vómitos del grupo sin fármaco. El periodo promedio sin dolor postoperatorio fue de 25.28 minutos con intensidades de 32% (leve), 68% (moderado) y ninguno (severo) para el primer grupo; en comparación a los 8.14 minutos sin dolor postoperatorio con intensidades de 12% (leve), 52% (moderado) y 36% (severo) para el otro grupo. En la colecistectomía laparoscópica, no se registró náuseas (80%) y vómitos (100%) en los pacientes con Dexametasona y del grupo sin fármaco, no se registró náuseas (28%) y vómitos (72%). La duración media del periodo postoperatorio sin dolor fue de 19.84 minutos con intensidades del12% (leve), 80% (moderado) y 8% (severo) para el primer grupo; a diferencia de los 7.60 minutos sin dolor postoperatorio con intensidades de 8% (leve), 60% (moderado) y 32% (severo) para el otro grupo. Concluyéndose que la administración profiláctica de 8mg. de Dexametasona si previene o disminuye dichos eventos postoperatorios; además de brindar una mejor evolución clínica, reducir de manera significativa la estancia hospitalaria y los gastos de hospitalización, por lo que se acepta la hipótesis de investigación.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,"Riesgos asociados a infecciones oportunistas en pacientes con VIH-SIDA en el CERITSS, hospital Antonio Lorena, Cusco 2005-2010","Meza Pumahuilca, Luz Marleny","Cavero Torre, Nelly Ayde","El presente trabajo de investigación titulado: ""RIESGOS ASOCIADOS A INFECCIONES OPORTUNISTAS EN PACIENTES CON VIH-SIDA EN EL CERITSS, HOSPITAL ANTONIO LORENA, CUSCO 2005- 2010"", cuyo objetivo fue determinar cuales son los riesgos asociados a las infecciones oportunistas en pacientes con VIH-SIDA en el CERITSS del Hospital Antonio Lorena, Cusca 2005-2010. Teniendo como hipótesis: Los riesgos biológicos, de hábitos nocivos y del TARGA están directamente asociados a las infecciones oportunistas en pacientes con VIH-SIDA en el CERITSS del Hospital Antonio Lorena, Cusca 2005-2010. Se realizó un estudio de tipo analítico- retrospectivo- casos y controles, con una población de 33 pacientes casos y 33 controles, para la recolección de datos se utilizo una ftcha de recolección previamente valtdada y aplicada en las historias clínicas, llegando así a los siguientes conclusiones: De los pacientes con VIHSIDA que acudieron al CERITSS del Hospital Antonio Lorena del Cusca en el periodo 2005-2010, el 56% fluctuaban entre edades de 25 a 35 años y el 18.2% eran menores de 35 años. El 68.5% fueron de sexo masculino y 31.8% de sexo femenino; el 89.4% fueron heterosexuales y 10.6% homosexuales. La prevalencia total de infecciones oportunistas fue de 44% en el total de pacientes., de las cuales se presento en un 42% de prevalencia las infecciones oportunistas bacterianas, siendo la Tuberculosis en un 39.4% y en un 9% presentaron las infecciones oportunistas virales, siendo la Hepatitis B en un 3%. De los pacientes con VIH-SIDA, el 97% se encontraba en Categoría ""B y C"" y 3% en categoría ""A""; el 57.6% estaban desnutridos y 42,4% eutróficos; el 90.9% tenían niveles =a 200 células/mm3 ; el 57.6% tenían carga viral >=a 55 000 copias VlH/ml y el 42,4% carga viral< 55 000 copias VIH /ml el 54.5% consumía alcohol y el 45.5% no consumía alcohol; el 81.8 % no consumían tabaco y el 18.2% consumían tabaco; el87.9% no consumía drogas y el12.1 %consumía drogas; el 60% no tuvieron fracaso ni mala adherencia al tratamiento y el 40% tuvieron fracaso y mala adherencia al tratamiento. Las infecciones oportunistas se asocian directamente a los riesgos biológicos como es el de: la categoría ""B y C"" del VIH-SIDA con un OR=38.4; la desnutrición con un OR=6; el nivel de células GD4 > a 200 célufas/mm3 con un OR=155; la carga viral >=de 55 000 copias/mi con un OR=3.6; asimismo se asocian a los riesgos del TARGA como el fracaso y la mala adherencia al tratamiento, mientras que los riesgos de hábitos nocivos como el consumo de alcohol, tabaco y drogas no se asocian a las infecciones oportunistas.",Licenciado en Enfermería,2011
Universidad Nacional de San Antonio Abad del Cusco,Picanterias típicas para la promoción turística en el barrio de San Blas del Cusco,"Tapia Peña, Saúl","Cardoso Moscoso, Gloria Paulina","La ciudad del Cusco es uno de los principales destinos turísticos del Perú y de Latinoamérica, esto hace que el turismo sea una de las principales actividades económicas para nuestra ciudad, pero de la misma manera dicha actividad mal planificada genera impactos negativos que son consecuencia del mero beneficio económico, en algunos casos estos pueden transformar estructuras sociales y vulnerar valores y costumbres tradicionales, las picanterías cusqueñas no están ajenas a este impacto, es así que las picanterías han sido desplazadas como en el caso del barrio de San Blas, así negocios modernos reemplazaron sus funciones, y la población local desvió su preferencia hacia estos nuevos locales, olvidando la importancia que tenían las picanterías en la sociedad cusqueña. Es por esto que vimos por conveniente realizar un trabajo de investigación el cual titulamos, PICANTERÍAS TÍPICAS PARA LA PROMOCIÓN TURÍSTICA EN EL BARRIO DE SAN BLAS DEL CUSCO, y cuyo contenido está integrado de la siguiente manera: La parte inicial y la más importante de la tesis lo constituye el Plan de Investigación, que comprende el planteamiento del problema, formulación del problema, los objetivos, las hipótesis, las variables, así como los antecedentes de estudio relacionados al tema, el marco teórico y los principales conceptos. Seguidamente se tiene los tres capítulos: Capítulo 1, contiene características generales de la ciudad del Cusco precisando aspectos políticos, sociales y geográficos, se hace un diagnostico situacional del ámbito de estudio como es el Barrio de San Blas, seguidamente se elabora una descripción de las Picanterías en el Perú, en el cusco, para luego desarrollar su situación actual en el barrio de San Blas, además de la categorización y jerarquización de los platos y bebidas que se expenden tradicionalmente en las Picanterías. Capítulo 11, damos a conocer el diseño de la metodología de investigación en donde se toma en cuenta la opinión de los actores principales relacionados a las picanterías, como son los propietarios, turistas y clientes locales, mediante las técnicas e instrumentos de investigación, la cual se aprecia en cifras y gráficos. Capítulo 111, se elabora un sistema de propuestas que coadyuvará a la revalorización y mejora del servicio que prestan las Picanterías del barrio de San Blas, las cuales deben ser tomadas en cuenta por las instituciones públicas y privadas relacionadas al turismo y así mismo por la sociedad civil. El trabajo de investigación culmina con las conclusiones, recomendaciones, bibliografía y anexos que se han utilizado en el presente trabajo de investigación.",Licenciado en Turismo,2011
Universidad Nacional de San Antonio Abad del Cusco,Efecto analgésico In vivo y espasmolítico Ex vivo del extracto hidroalcohólico al 70 % de Piperomia verroculosa Dahlstedt ex A.W. Hill.(Uchuy papa) en animales de experimentación,"López Aliaga Orosco, Gilda Leonor","Villena Tejada, Magaly","El cormo subgloboso de Peperomia verruculosa Dahlstedt ex A. W. Hill. (Uchuy papa), es utilizada en la medicina tradicional en desordenes gastrointestinales como cólico, diarreas e indigestión. El objetivo del presente trabajo fue evaluar los efectos analgésico in vivo y espasmolítico ex vivo del extracto hidroalcohólico al 70% de Peperomia verruculosa Dahlstedt ex A. W. Hill. (Uchuy papa). Para evaluar el efecto analgésico mediante las contorsiones inducidas con ácido acético al 3%, se usaron ratones macho, y el extracto fue administrado a una dosis de 12.5, 25 y 50 mg/Kg de peso por vía oral, usando como patrón indometacina 10 mg/Kg. La intensidad del dolor fue determinado a través del número de contorsiones observadas durante 20 minutos. El efecto espasmolítico se evaluó mediante las contracciones inducidas con acetilcolina a dosis acumulativa (adicionada cada tres minutos) en íleon aislado. Se diseccionó 2 cm. de la parte distal del íleon de ratas machos y se montó en el baño de órganos que contenía solución de Tyrode y las contracciones fueron registradas por el transductor isotónico. Se usó como patrón atropina 104 M y concentraciones de 50,1 00 y 200 ¡.Jg/ml del extracto hidroalcohólico. Como resultado, el extracto hidroalcohólico, a la dosis de 25 y 50 mg/Kg de peso, disminuye el dolor en 80.55% y 83.33% respectivamente, siendo mayor a la indometacina que alcanza el 50%. Así mismo la dosis de 100 ¡.Jg/ml disminuyen las contracciones en 71%, siendo ésta la dosis que se aproxima al efecto del patrón que lo hace en el 80%. En conclusión el extracto hidroalcohólico al 70% de Peperomia verruculosa Dahlstedt ex A.W. Hill., presenta efecto analgésico a la dosis de 50 mg/Kg de peso y 100 ug/mL inhibe significativamente las contracciones inducidas por acetilcolina.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,Diagnóstico y propuesta de plan de manejo eco eficiente de los residuos sólidos en el centro poblado del distrito de Chinchero,"Ayma Auccapuma, Magaly Lucia","Huamán Miranda, Guido Vicente","El trabajo de investigación intitulado ""Diagnóstico y propuesta de plan de manejo eco eficiente de los residuos sólidos en el Centro Poblado del Distrito de Chinchero"", tiene como problema principal el incremento de la cantidad de residuos sólidos tanto en el centro poblado y las Comunidades campesinas cercanas, y la ausencia de un plan de manejo de los residuos sólidos, por tal motivo se plantea como objetivo principal la formulación del Diagnóstico y propuesta de plan de manejo eco eficiente de los residuos sólidos en el Centro Poblado del Distrito de Chinchero, para lograr dicho objetivo realizamos el diagnóstico de la situación actual del manejo de los residuos sólidos, determinamos la producción per cápita, composición física y densidad de los residuos sólidos, la evaluación el actual sistema de recolección y disposición final (cobertura, calidad y eficiencia) del sistema actual de manejo de los residuos sólidos y la formulación de las estrategias para la recolección transporte y disposición final de los residuos sólidos, para la obtención de datos de la situación actual de los residuos sólidos se aplicó encuestas, se realizó talleres participativos y la caracterización de residuos sólidos para la obtención de la producción per-cápita, densidad y composición física se obtuvo una muestra demostrativa del centro poblado a nivel de detalle y para el área rural se tomó cuatro Comunidades, mediante la metodología aleatoria se escogió tas viv1endas que .fueron evaluadas previo padrón de las viviendas considerando el tipo de acceso (calles pavimentadas, empedradas o solo afirmadas), se evaluó la eficiencia del servicio mediante los formatos del Ministerio {je Medio Ambiente (MINAM) para la obtención de la información y por ultimo para la formulación de estrategias se aplicó el método prospectivo para elaborar la visión de futuro del plan de manejo de residuos sólidos. El diagnóstico del Distrito de Chinchero muestra que es una población muy dinámica en las actividades agropecuarias, artesanía, turismo y comercio por los atractivos arqueológicos y naturales con que cuenta esta localidad. Los datos de interés del presente trabajo son la producción per-cápita que es de 0.384 kg/hab/día en el área urbana y en el área rural es de 0.270 kg/hab/día, la producción total de residuos es de 1051.161 kg/día, la producción per cápita por alumno en las 4 instituciones educativas evaluadas son: en la institución educativa 50581 es de 0.079 k_g/ha/día, institución educativa inicial es de 0.092 kg/alumno/día e Institución educativa Yachay es de 0.108 kg/alumno/día. La generación de residuos sólidos domiciliarios por día es de 1.051 tldía, residuos de las instituciones educativas es de 0.163 t/día, residuos de mercado es de 0.068 t/día, de barrido 0.277 t/día, otras instituciones es de 0.093 t/día y los residuos del área rural es de 1.873 t/día haciendo un total de 3.527 t/día, la densidad de los residuos sólidos en promedio es de 105.763 kg/m3/día. La composición física hay predominancia de los residuos de alimentación con 34.65% y con 16.54% los residuos constituidos de tierra y ceniza. El almacenamiento de los residuos es variado en las viviendas utilizando en su mayoría bolsas plásticas, costales, tachos plásticos o metálicos y otros juntándolo en un solo lugar sin segregar hasta el día que visite el carro recolector, en caso del almacenamiento de los residuos de las vías públicas son tachos plásticos de una capacidad de 200 litros y tachos metálicos a lo largo de la entrada al parque arqueológico de Chinchero. El servicio de limpieza pública en la actualidad cuenta con cuatro rutas que cubren 96 cuadras, el barrido tiene cuatro personas que utilizan escobas, recogedores y carretas empujados manualmente, las labores se inician desde la 6 am finalizando a las 2 pm, también se identificó dentro del centro poblado 7 puntos críticos de acumulación de residuos sólidos en las Comunidades y 5 puntos críticos en Comunidades campesinas, para el transporte de residuos sólidos se tiene 2 unidades motorizadas con 1 chofer y un ayudante cada una, el trasporte y recolección de residuos sólidos se realiza 3 veces a la semana los días lunes; miércoles, viernes desde las 6 am hasta 2 pm en el área urbana pero en el área rural es previa petición a la municipalidad, los residuos sólidos emitidos en el Distrito tiene como destino final en un botadero ubicado en la micro cuenca de Piuray Ccorimarca. En cuanto a la cobertura del servicio de limpieza pública se tiene una cobertura de 75.18% de vías del Centro Poblado de Chinchero, para determinar la eficiencia del servicio de recolección en 1as 2 rutas, se determinó el tiempo de macro, micro ruteo y la distancia recorrida obteniendo los siguientes datos, para el recorrido total se tiene 70.53 km en un tiempo de 5 horas con 59 minutos obteniendo el valor de 0.37 que es poco aceptable en referencia a 0.70 que es un valor óptimo de eficiencia, la cobertura del servicio de recolección los días miércoles alcanza un 27.78% y los días lunes• y viernes la cobertura es del 50 %, sin embargo existe un 22.22% de la población que no es atendida. La eficiencia de los vehículos en el caso de la mini compactadora llega al 70% y la compactadora de 87% los lunes donde se tiene la mayor producción de residuos, los depósitos de almacenamiento temporal que se encuentra en los lugares más concurridos del Centro Poblado tienen una eficiencia de 20% para los tachos de plástico que representa 4 kg/día y los tachos metálicos llegan al 18.75% de su capacidad este valor representa 1.5 kg/día. Las estrategias formuladas se realizaron tomando en cuenta la participación de los comités de juntas vecinales, juntas administradoras del servicio de saneamiento sectoriales que estuvieron presente en los 2 talleres. Para la implementación de las estrategias del presente plan se definen los siguientes aspectos: lnstitucionalidad y concertación, desarrollo de instrumentos legales, difusión y aplicación de tecnologías apropiadas, organización y participación de la comunidad, promoción de incentivos y estrategias que faciliten la sensibilización y motivación en la población generando una cultura ambiental. Dentro del trabajo se incluye la propuesta del plan -de manejo eco eficiente de los residuos sólidos, las estrategias para su implementación y anexos que fueron útiles para la obtención de la toda la información que dan prueba de la credibilidad de los datos obtenidos.",Ingeniero agrónomo,2011
Universidad Nacional de San Antonio Abad del Cusco,Actividad inhibitoria de Xantina Oxidasa de los extractos secos etanólicos al 70% de plantas usadas tradicionalmente para el tratamiento de gota y determinación de metabolitos secundarios,"Mamani Huittoccollo, Luz Marina","Del Carpio Jiménez, Carla","Este trabajo tiene como objetivo determinar la actividad inhibitoria de xantina oxidasa, de los extractos secos etanólicos al 70% de diez especies vegetales, usadas tradicionalmente para el tratamiento de la gota: Schinus molle L. (molle), Rosmarinus officinalis L. (Romero), Baccharis chilco H.B.K. (Chillca), Taraxacum officina/e Wiggers. (Diente de león), Ephedra americana H. & B. (Pinco-pinco), Ambrosía arborescens Mili. (Marcju), Urtica urens L. (Ortiga), Caiophora rosulata (Weddel) Urban & Gilg. (Madre kisa), Acanthoxanthium spinosum (L) (Aikkho kiska), Medicago lupulina L. (irébol); para lo cual se realizó un ensayo in vitro, asi como también, determinar los metabolitos secundarios presentes en la planta con mayor actividad. Utilizando un diseño metodológico: descriptivo, cuasiexperimental y transaccional descriptivo. La actividad enzimática fue medida por medio de un espectrofotómetro, de acuerdo a los valores de absorbancia que mostró a 290nm cada especie vegetal. Fue el extracto etanólico de Medicago lupulina L. (trébol) quien presentó un mayor porcentaje de inhibición de 61.03 % a una concentración de 100µg/ml, sin embargo; fue menor al que presentó el patrón alopurinol. Para la determinación de los metabolitos secundarios de Medicago lupulina L. (trébol), se realizó un proceso de extracción con solventes de diferente polaridad: hexano, dicforometano, cloroformo, cloroformo-metanol (4:1), metariol y agua. A los extractos obtenidos también se les realizó el ensayo in vitro para determinar el extracto con mayor porcentaje de inhibición, presentando el extracto metanólico de Medicago /upulina L. (trébol) un porcentaje de inhibición de 64.65% a una concentración de 100 l-Jg/ml. El extracto metanólico de Medicago /upu/ina L. (trébol) fue sometido a un proceso separación y purificación cori acetona, agua y cloroformo, obteniéndose dos extractos: acuoso y clorofórmico. Posteriormente al extracto acuoso se filtró a través_ de un cartucho ODS C-18 que fue eluida con H20 acidulada, consiguiéndose dos fracciones de este proceso: una fracción no retenida y una fracción retenida, en la fase sólida del cartucho que fue eluida con metanol. Ambas fracciones obtenidas, más el extracto clorofórmico fueron llevados a TLC, habiéndose usado como fase móvil: Acetato de etilo : ácido fórmico: ácido acético: agua (100:11:11:27) observándose en la fracción retenida una separación de sus componentes, por lo que a esta fracción se le llevó a CC, la elución se realizó con un gradiente de solventes: cloroformometanol (25:0, 20:5, 15:10, 10:15; 5:20 y 0:25), obteniéndose 80 fracciones de 2 mi cada una, las cuales fueron sometidas a TLC usando la misma fase móvil. Del resultado de este análisis, las fracciones fueron reunidas en 4 fracciones: fracción 1-23, fracción 35-37, fracción 55-59 y fracción 60-79. El extracto metanólico hidrolizado de Medicago Jupulina L (trébol) y las cuatro fracciones fueron llevadas a la lectura en Espectrofotómetro UV y HPLC, utilizando el extracto hidrolizado de Petroselinum sativum (perejil) como patrón de referencia. Finalmente, se concluye que de las diez especies estudiadas, Medicago Lupulina L. (trébol) posee mayor actividad inhibitoria de xantina oxidasa. Además por las características que presentaron los espectros y cromatogramas obtenidos por HPLC, los metabolitos secundarios presentes en esta planta y posiblemente responsables de la actividad inhibitoria de xantina oxidasa podrían ser flavonoides: Apigenina.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,Evaluacion de la actividad insecticida In Vitro sobre larvas de Aedes aegypti (vector de la fiebre amarilla y dengue) y determinación del efecto antibacteriano frente a cepas de Salmonella typhi spp. de las acetogeninas obtenidas a partir de extractos etanólicos de semillas de Annona muricata L. (masasamba),"Callo Condori, Judith","Del Carpio Jiménez, Carla","El presente trabajo evaluó el efecto insecticida y efecto antibacteriano de las Acetogeninas extraídas a partir de extractos etanólicos de semillas de Annona muricata L. (Masasamba), el desarrollo de la investigación fue llevado a cabo en diferentes escenarios de la región Cusca (provincias de la Convención, Cusca, Quispicanchis). La obtención del concentrado de Acetogeninas se realizó por extracción por maceración etanólica al 70% hasta la obtención del extracto etanólico crudo, posteriormente se realizó un proceso de extracción por decantación con solventes de diferente polaridad. El concentrado de Acetogeninas fue sometido a análisis fisicoquímico y determinación de la composición química mediante cromatografía liquida de alta resolución (HPLC), determinándose con mucha probabilidad de que la Acetogenina denominada squamostatin D sea el componente mayoritario del concentrado de Acetogeninas obtenida a partir de las semillas de Annona muricata L. ( 43.1206% ), al comparar los resultados con los de otros estudios de la especie vegetal se determinó que nuestra muestra de Acetogeninas posee mayor cantidad de squamostatin D, Posteriormente se determinó el efecto insecticida de las Acetogeninas frente a larvas de Aedes aegypti con soluciones preparadas a diferentes concentraciones (10 000, 5000, 500 y 50 ppm), obteniendo resultados de gran interés, siendo la concentración de 1 0.000ppm la que demostró mayor efecto insecticida frente a las demás concentraciones de experimentación, y en relación con el insecticida patrón (Temefós) presentó un efecto insecticida similar al matar el mismo número de larvas en un periodo de tiempo aproximado. Se determinó la actividad antibacteriana de las Acetogeninas frente a cepas bacterianas de Salmonella typhi spp mediante la técnica de Kirby Bawer para lo cual se utilizaron concentraciones estandarizadas (100, 123.97, 153.69, 190.52, 236.19, 292.81, 362.99 y 450mg) obtenidas a partir de una prueba piloto. Encontrándose que a partir de 1 OOmg se produce inhibición del crecimiento bacteriano, valor que es considerado como la concentración mínima inhibitoria (CIM), y el mayor efecto antibacteriano se produjo a la concentración de 450mg con un halo de inhibición en promedio de 31.67mm la cual superó al halo de inhibición del medicamento patrón (Ciprofloxacino) utilizado la cual fue de 27.67mm en promedio.",Químico Farmacéutico,2011
Universidad Nacional de San Antonio Abad del Cusco,"Evalución de la eficacia de especies de Trichoderma spp en el control del ojo de pollo del café, en la provincia de La Convención","Carhuavilca Gamboa, Nidia Loyda","Tisoc Dueñas, Isolina Octavia","El experimento se realizó en parcelas de café Coffea arábica, ubicadas en el sector de Mandor Alta a 10 Km de la ciudad de Quillabamba, con una altitud de 1,543 msnm. El estudio se realizó con el objetivo de determinar el efecto antagónico de especies de hongos (Trichoderma harzianum y Trichoderma viride) en el control de ojo de pollo Mycena citricolor (Berk. & Curtís) Sacc del café en la provincia de La Convención. El diseño experimental usado es el de bloques completamente al azar, con tres bloques, cinco tratamientos y por cada tratamiento 28 plantas de café de la variedad Catimor. Los hongos antagónicos se inocularon con una frecuencia de 7, 10 y 7 días de intervalo y una dosis de 0.4 kg de sustrato de Trichoderma diluido en 20 litros de agua con una concentración de 108 conidias por gramo. Los parámetros que se evaluaron en el experimento fueron la incidencia y severidad; los resultados obtenidos después de 4 meses de evaluación de campo fueron: en incidencia el tratamiento que mostró un menor incremento de la incidencia de ojo de pollo es el Trichoderma viride (D) con 5.88% en comparación a los demás tratamientos. En cuanto a la severidad del ojo de pollo el Testigo con Caldo Bordalés presentó una reducción de la severidad de 57.22%, la Combinación de Trichoderma harzianum y Trichoderma viride mostraron una reducción de 35.62%; en comparación a la severidad inicial de Mycena citricolor en la parcela demostrativa. Lo contrario a lo que sucedió con los tratamientos Trichoderma harzianum y Trichoderma viride que incrementaron la severidad en 10.76% y 11.46% respectivamente. Los resultados obtenidos difieren estadísticamente en cuanto al porcentaje de incidencia y severidad, donde la combinación de Th & Tv (E) demostró un efecto antagónico sobre del ojo de pollo del café en el campo.",Ingeniero agrónomo tropical,2011
Universidad Nacional de San Antonio Abad del Cusco,Estudio comparativo del efecto antimicótico y evaluación de la dermatotoxicidad del extracto hexánico de Ophryosporus peruvianus y aceite esencial de Citrus limón en forma de jabón líquido frente a dermatofitosis en pacientes que acuden al hospital Regional,"Quispe Baca, Karina Yenny","Del Carpio Jiménez, Carla","El presente trabajo tiene por finalidad comparar la actividad antimicótica ""in Vitro"" e ""in Vivo"" del extracto hexanico de Ophryosporus peruvianus ( Cjafra - cjafra) y del aceite esencial de Citrus /ímón(limón) y a partir de ello elaborar la forma farmacéutica de jabón líquido. El extracto hexanico se ha obtenido por fraccionamiento del extracto etanólico de Ophryosporus peruvianus y el aceite esencial de Citrus limón (limón) se ha obtenido por el método de destilación por arrastre de vapor de agua de las cáscaras del fruto maduro del limón dulce. El extracto hexanico como el aceite esencial se han sometido a pruebas microbiológicas determinandose su actividad antimicótica contra Trichophyon mentagrophytes ATCC 9533 así como Trichophyton rubrum ATCC 28188 mediante el método de agar en placa escavado, los diámetros de inhibición de la prueba en agar en placa escavado para Trichophyton mentagrophytes fue en promedio de 18 mm a una dosis de 1 O mg/ml del extracto hexanico de Ophryosporus peruvianus y para Trihophyton rubrum fue de 22mm de halo de inhibición a un volumen de 50 micro litros para el aceite esencial de Citrus limón. Se realizaron las pruebas de irritación primaria de piel, sensibilización cutánea, fototoxicidad y fotoalergicidad en ratones albinos especie Mus musculus balbc/CNPB. Donde se observó: • El aceite esencial de Citrus /ímon y el extracto hexánico de Ophryosporus peruvianus en su forma de jabón liquido son irritantes débiles para la piel • El aceite esencial de Citrus /ímon y el extracto hexánico de Ophryosporus peruvianus en su forma de jabón liquido son Sensibilizante débiles para la piel • El aceite esencial de Citrus limon y el extracto hexánico de Ophryosporus peruvíanus en su forma de jabón liquido son agentes fototóxico débil y aparentemente no fotoalergénico para la piel Se realizó la elaboración de la forma farmacéutica donde se probo diferentes formulaciones y se eligió aquel que presentaba mejor compatibilidades y mejores características con el extractos y con el aceite esencial, se prepararon jabones líquidos a diferentes concentraciones y la formulación elegida fue el jabón líquido a 210 mg de extracto y de 200uL de aceite esencial. Se llegó a las siguientes conclusiones: 1-. El extracto hexanico de Ophryosporus peruvianus presento efecto antimicótico sobre las dos especies en comparación con el fármaco patrón ( clotrimazol). 2-. El aceite esencial tiene un mayor efecto antimicótico frente a las dos especies. 3-. El extracto hexanico como el aceite esencial incorporado al jabón liquido presentan actividad antimicótica en ambas especies de hongos patógenos. 4.- El jabón líquido con aceite esencial de Citrus limón y el jabón líquido con extracto hexánico de Ophryosporus peruvianus mejoraron la condición de los pacientes con dermatofitosis.",Químico Farmacéutico,2011
