instituciones,titulos,autores,contribuidores,resumenes,grados,niveles,años,diciplinas,level
Universidad Nacional del Altiplano,Desarrollo de un sistema de información para el registro civil de la municipalidad distrital de Cabana - 2012,"Escobedo Choque, Vilma","Vargas Velarde, Confesor M.","El Registro Civil de la Municipalidad Distrital de Cabana, está encargado de realizar inscripciones y expedir de partidas de nacimiento, matrimonios y defunciones a los usuarios pero no contaba con un sistema automatizado para generar procesos más eficaces en función de las necesidades del servicio que se presta, razón por la cual se desarrolló el presente trabajo de investigación con el objetivo: Desarrollar un sistema de información para administrar el Registro Civil de la Municipalidad de Cabana. Para el desarrollo del sistema de información, se utilizó la metodología Xtreme Programming (XP) porque se amolda a los requerimientos, hasta la puesta del funcionamiento del sistema. Para el diseño se utilizó el UML, con su herramienta Rational Rose. Para poder evaluar la calidad del software se utilizó el estándar ISO – 9126 y también se utilizó la prueba estadística no paramétrica de rangos de wilcoxón, ya que la muestra no tenía distribución normal. Implementado el sistema de información se ha cumplido con la automatización del Registro Civil, el cual permitió cubrir todas las necesidades, donde se obtuvo resultados satisfactorios de los usuarios donde se aplicó la prueba estadística no paramétrica de rangos de wilcoxón con el 95% de nivel significativo y también se demostró según el estándar ISO-9126 que el producto de desarrollo del sistema de información cumple los requisitos en una escala de 101.",Ingeniero Estadístico e Informático,Título Profesional,2012,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema de intercomunicación y transferencia de archivos aplicado a las tecnologías de información y comunicaciones de la empresa prestadora de servicios de agua Juliaca S.A. 2012,"Pari Mamani, Henry","Ibañez Quispe, Vladimiro","El problema que se presentaba al personal que labora en la E.P.S. SEDA JULIACA, fue emplear demasiado tiempo en intercambiar información dentro de la entidad, en razón de que se realizaba de manera manual generando así demoras en las coordinaciones, manejo de información y molestias a los usuarios. El presente trabajo de investigación se realizó bajo el siguiente objetivo “Desarrollar un sistema que optimice el tiempo de los procesos de comunicación y Transferencia de archivos considerando su tamaño, tipo de archivo y la experiencia informática del personal”, con el fin de agilizar la gestión del proceso de intercambio de información. Para desarrollar el sistema se utilizó la metodología Métrica 3 y el lenguaje de Programación C++Builder, a su vez se cumplió con los estándares para desarrollo de software y VoIP. El número de operadores de prueba del sistema fue en un número de 35 a quienes se les aplicó una encuesta a fin de validar la eficiencia del sistema. A su vez se utilizó la Regresión Lineal Múltiple para la prueba de hipótesis y la identificación de las variables de mayor influencia sobre el tiempo de duración del proceso de intercambio de información. Se concluye que con la implementación del sistema SysIntJul se agilizó el proceso de intercambiar información de una manera eficiente con una satisfacción delos operadores a un 73.9% del total.",Ingeniero Estadístico e Informático,Título Profesional,2012,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema antivirus multiplataforma en tiempo real usando técnicas heurísticas y proactivas - 2013,"Laura Murillo, Ramiro Pedro","Ibañes Quispe, Vladimiro","Se tiene como problemática la proliferación y propagación de una gran variedad de virus informáticos a través de los dispositivos de almacenamiento extraíbles como son: la contaminación lógica del sistema operativo, la destrucción de archivos y carpetas, la posibilidad de daños en los medios de almacenamiento y otros. La presente investigación tuvo como objetivo “Desarrollar un Sistema Antivirus con detección en tiempo real usando técnicas Heurísticas, Proactivas y auto-actualizable”, aprovechando la conexión a Internet. Cumpliendo con este objetivo de desarrollo el Sistema Antivirus de nombre AV-Fenix el cual realiza las operaciones de detestación, eliminación, prevención de software malicioso, actualización de la base de firmas y revisión de los dispositivos extraíbles que se conecten al computador. La metodología que se usó fue de la Programación Extrema (XP) por su flexibilidad en el desarrollo de aplicaciones pequeñas y eficaces sobre todo por que el antivirus es modificado e incrementado con mejoras necesarias por la constante evolución de los malwares. El Modelamiento basado siempre en el Lenguaje de Modelamiento Unificado (UML) y la Métrica de Validación ISO/IEC 9126. Mediante el ingreso de datos de Malwares y la mejora iterativa de las técnicas de detección para la posterior eliminación, ofreciendo así un software estable y eficiente",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,La competitividad frente a la estructura de las PYMES en Juliaca año 2012,"Ticacala Quispe, Luis Alberto","Mendoza Mollocondo, Charles","Esta investigación se realizó porque se sospechó baja competitividad de las PYMES (Pequeñas y Medianas Empresas), en la ciudad de Juliaca siendo estos actores de desarrollo en la economía Juliaqueña y a su vez peruana, que carecen de apoyo por parte del gobierno, además en la globalización de mercados son notorios sus desventajas para ser competitivos, con la estructura que tienen las empresas. Por ello se plantea el objetivo de “Determinar la incidencia de la estructura en la competitividad de las Pymes ubicadas en la ciudad de Juliaca.” Se toma la Población de N = 31,193 y una muestra de 72 Pymes Aplicando el muestreo Aleatorio simple (MAS) donde la variable “X” representa ESTRUCTURA y la variable “Y” COMPETITIVIDAD; el método de análisis de datos es el cuantitativo (Estadística Descriptiva e inferencial) para el trabajo de investigación según Carta Nº 30 – 2012 /Sunat – 2J1005. Concluyéndose que la competitividad depende de la estructura, viendo el coeficiente de incertidumbre, Al evaluar la estructura determinado por la gestión financiera, de las Pymes, que el 58.3% realiza Gestión Financiera y el 41.7% no realiza Gestión financiera y describiendo la situación actual de la competitividad analizando la innovación, de las Pymes que el 16.7% realiza diariamente, el 34.7% realiza semanalmente, el 11.1% realiza quincenalmente, el 25.0% realiza mensualmente, el 8.3% no realiza y el 4.2 % no tiene conocimiento de innovación en la ciudad de Juliaca. La Hipótesis general, se rechaza la hipótesis de investigación con α ═ 0.05 y aceptamos la Hipótesis nula donde",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Desarrollo de software estadístico para la Escuela Profesional de Ingeniería Estadística e Informática – Puno 2012,"Ramos Quispe, Joel","Villsante Saravia, Fredy Heric","Los estudiantes de Ingeniería Estadística e Informática se ven limitados en su quehacer académico usando software estadístico, estas herramientas se usan a nivel de usuario cuando la necesidad es entender algoritmos computacionales de las técnicas y métodos aplicados a los cursos de estadística; el presente trabajo de investigación pretende Desarrollar un software estadístico para el procesamiento de datos como guía de los alumnos, un software compacto con el código fuente entendible. Para llevar a cabo el desarrollo del software se hace uso del lenguaje UML, para modelamiento de propósito general usado para especificar, visualizar, construir y documentar los artefactos de un sistema de software. Los algoritmos estadísticos del presente trabajo cumplen la función de instruir a los usuarios en el manejo de calculos estadísticos, de los cuales el estudiante podrá tener una mejor idea al ver el algoritmo que ejecuta los procedimientos matemáticos necesarios para resolver los distintos postulados estadísticos, en el presente software se ha desarrollado algoritmos computacionales que procesan postulados de estadística básica en un lenguaje de programación popular y se ha integrado los algoritmos computacionales en un entorno de procesamiento de datos de forma similar a un software estadístico comercial, se presenta un editor básico de datos similar detallando su desarrollo",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Desarrollo e implementación de software multimedia para la generación de ambientes 3D a partir de figuras 2D aplicando el método de triangulación de delaunay - Puno 2012,"Choque Larico, Henry Jose","Ramos Calcina, Alcides","El problema que se presentaba en la generación de ambientes 3D partir de figuras 2D con las aplicaciones comerciales es que no permitía generar ambientes 3D complejos por la lentitud de los procesos de generación de los puntos de intersección de las mallas, las cuales no admitían dar un refinamiento adecuado a los ambientes 3D en las superficies y volúmenes de los objetos. En este sentido la presente tesis se ha desarrollado con el objetivo de “Desarrollar un software eficiente en la generación de ambientes 3D a partir de figuras 2D aplicando el método de Triangulación de Delaunay”, con el fin de que esta herramienta facilite el trabajo de generación de ambientes 3D complejos, haciéndolos más precisos, adaptables y de más rápida realización. Para cumplir con el objetivo trazado se utilizó el modelo de desarrollo de programación extrema, ya que es el más destacado de los procesos ágiles de desarrollo de software. Para hallar la eficiencia del sistema se utilizaron las métricas de calidad de McCall, donde se aplicaron dos cuestionarios a cuatro especialistas que trabajan con diseños 3D, quienes hicieron las pruebas de uso del sistema. Se usó el muestreo no probabilístico, ya que nos permitió tomar una muestra a criterio del investigador, las comprobaciones cuantitativas implementadas se han basado en las métricas de calidad de McCall, con ella se ha comprobado numéricamente la eficiencia del sistema que fue 8.19 en una escala de 0 a 10, la cual nos indicó que el software tiene un alto nivel de calidad. Por tanto, el Software Multimedia para la generación de ambientes 3D a partir de figuras 2D aplicando el método de triangulación de Delaunay en la renderización de imágenes es óptima dando lugar a un aspecto sumamente realista en sentido visual, con esta investigación concluimos que este nos permitirá incluso generar mallas de ambientes a un más complejas",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Sistema académico para la empresa taller de enseñanza latinoamericana EMTEL 2012,"Hancco Larico, Henry","Azañero de Aguirre, Emma Orfelinda","La Evolución continua de la EMPRESA DE TALLER DE ENSEÑANZA LATINOAMERICANA EMTEL y el crecimiento de sus estudiantes en los diferentes especialidades y cursos, hacia tedioso las matriculas lo mimos reportes de notas y consultas de asistencia lo cual generaba insatisfacción y malestar en los docentes, administrativos y estudiantes. Pues en ese afán de tener una mejor calidad administrativa y la necesidad de contar con un sistema de información el cual permita al personal que labora en dicha empresa el tener una comunicación, una transmisión y el compartir Información, en tiempo real. Este proyecto se desarrolló con el objetivo de la automatización del sistema académico de la EMPRESA DE TALLER DE ENSEÑANZA LATINOAMERICANA EMTEL 2012. Para el desarrollo del sistema de información académico fue necesario utilizar el lenguaje PHP y html. La metodología que se aplico fue Xtreme Programming (XP) que se adaptó satisfactoriamente a nuestros requerimientos en el trabajo, pues dicho trabajo siguió un tipo de investigación aplicativo, la cual fue diseñada para una tarea específica, apoyada en el uso de métodos y herramientas usadas en este trabajo, para la validación del sistema se utilizó el estándar 1SO-9126 para verificar. Con la automatización del sistema académico se llegó a la conclusión de que el sistema garantiza una buena comunicación entre los diferentes actores en el uso del sistema, así mismo la reducción de tiempo en los trámites administrativos y la metodología Xtreme Programming (XP) hace el uso más confiable sencillo para los usuarios. En lo que respecta al servicio que sistema proporciona a los usuarios, se realizó una encuesta a 93 personas, estos quedando esta satisfechos en su totalidad por ser segura y eficiente.",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Influencia del uso de internet en el rendimiento académico de los estudiantes de la Gran Unidad Escolar las Mercedes de Juliaca - 2012,"Mamani Mamani, Rubén Dario","Lluen Vallejos, Cesar Augusto","El bajo rendimiento académico que se estuvo manifestando en los estudiantes del Colegio Secundario “Gran Unidad Escolar Las Mercedes” de la ciudad de Juliaca, hizo sospechar que las causas podrían ser por el excesivo uso de algunas de las utilidades de Internet tales como son: Las redes sociales, los juegos online, el copiado y pegado de información y las descargas multimedia. Por tal razón se realizó la presente investigación a fin de cumplir con el objetivo de determinar si estas tenían influencia negativa en el bajo rendimiento. Para el estudio se consideró a la población de estudiantes del Colegio Secundario la “Gran Unidad Escolar Las Mercedes” en el periodo académico 2012” con un total de 1190, dela cual se extrajo una muestra aleatoria estratificada con afijación proporcional de 204 estudiantes. La variable de estudio fue el bajo rendimiento académico y los factores considerados fueron: El uso de las redes sociales, los videojuegos, las descargas multimedia y la búsqueda de información. Los datos para el rendimiento académico fueron medidos en base al registro académico de calificaciones del Colegio y los datos para los factores fueron obtenidos a través de cuestionarios mediante la encuesta a los estudiantes. Para probar la influencia de cada una de las utilidades del internet sobre el bajo rendimiento académico en la muestra se utilizó la prueba Chi–Cuadrada. Como resultado de los análisis se determinó que en general el uso de las utilidades que ofrece el internet no tiene una influencia negativa en el rendimiento académico de los estudiantes.",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,Red privada virtual para la prestación de servicios multimedia en el campus universitario de la Universidad Nacional del Altiplano - 2015,"Melgarejo Bolivar, Romel Percy","Ibañez Quispe, Vladimiro","El tendido de fibra óptica en el campus Universitario de la Universidad Nacional del Altiplano Puno es un medio físico de trasmisión de datos que garantiza altas tasas de tráfico pero no aprovechadas en su totalidad ya que solo se usa para las conexiones a internet, intranet telefonía IP y otros de menor demanda y con restricciones en sus servicios, políticas de seguridad vulnerables e insuficiente ancho de banda para la navegación en internet en horas puntas. El uso de la Metodología CISCO permitió identificar las vulnerabilidades en sus políticas de seguridad ya que esta Metodología obliga a recolectar la información necesaria sobre el funcionamiento, operación y diseño para su comprensión y tener las consideraciones para su implementación, optimización y la red a implementar dentro. La implementación de la interfaz, el funcionamiento, la forma de conectividad y como el usuario interactúa con la red privada virtual y la plataforma solo fue posible describirla usando Metodologías Agiles, debido a que estas son las que mejor se adecuan cuando se pretende desarrollar software y programación moderna. Finalmente el acceso a la fibra óptica fue posible mediante arreglos computacionales y dispositivos de conexión IP vulnerando las políticas de seguridad para dentro, implementar una Red Privada Virtual (VPN) con acceso a esta desde cualquier nodo del campus Universitario autenticados por un portal cautivo en la plataforma Linux donde exista servicio de internet y contenido multimedia por streaming",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
Universidad Nacional del Altiplano,"Influencia de los hábitos de estudio en el rendimiento académico de los alumnos de la Escuela Profesional de Ingeniería Estadística e Informática de la UNA – Puno, 2013","Parisaca Romero, Hugo Concepcion","Lluen Vallejos, Cesar Augusto","El presente trabajo de investigación se realizó en el Región de Puno, Provincia de Puno, Ciudad Universitaria UNA Puno. Por qué se observó que algunos alumnos no utilizan técnicas adecuadas de estudio, debido a que valoran más otras actividades que no favorecen la adecuada practica de hábitos de estudio, lo cual repercute en el rendimiento académico; razón por la cual se plantea el siguiente objetivo determinar la influencia de los hábitos de estudio en el rendimiento académico, para el área de Estadística y para el área de Informática. La metodología aplicada fue el descriptivo, con una población constituida por todos los alumnos de la escuela profesional de ingeniería Estadística e Informática que hacen un total 441, definida la unidad de análisis se determinó el grupo de muestra integrado por 81 estudiantes de la escuela profesional de ingeniería Estadística e Informática, a quienes se les aplicó el inventario de hábitos de estudio. Las pruebas para el área de estadística y en el área de Informática, ambas operacionalizadas tomando como fuente primaria los sílabos de las respectivas áreas, fue sometido al software Estadístico R i386 3.0.2, para juzgar la validez del instrumento. Se concluyó que el nivel de rendimiento académico en el área de estadística es de 54% y en el área de informática es de 41 % del promedio de los alumnos, obteniendo calificativos que van de 11 a 13",Ingeniero Estadístico e Informático,Título Profesional,2013,Ingeniería Estadística e Informática,pregrado
